"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/1992","1,599.92","1,599.92","1,599.92","1,599.92","126.80M","2.38%"
"06/24/1992","1,562.71","1,562.71","1,562.71","1,562.71","46.51M","-4.04%"
"06/23/1992","1,628.49","1,628.49","1,628.49","1,628.49","79.46M","0.26%"
"06/22/1992","1,624.34","1,624.34","1,624.34","1,624.34","53.81M","-3.67%"
"06/19/1992","1,686.25","1,686.25","1,686.25","1,686.25","76.27M","3.19%"
"06/18/1992","1,634.19","1,634.19","1,634.19","1,634.19","88.52M","2.57%"
"06/17/1992","1,593.29","1,593.29","1,593.29","1,593.29","328.80M","-5.89%"
"06/16/1992","1,692.94","1,692.94","1,692.94","1,692.94","168.65M","-2.85%"
"06/15/1992","1,742.54","1,742.54","1,742.54","1,742.54","76.46M","-3.72%"
"06/12/1992","1,809.88","1,809.88","1,809.88","1,809.88","63.26M","0.41%"
"06/11/1992","1,802.57","1,802.57","1,802.57","1,802.57","109.85M","0.35%"
"06/10/1992","1,796.34","1,796.34","1,796.34","1,796.34","104.38M","-2.57%"
"06/09/1992","1,843.70","1,843.70","1,843.70","1,843.70","111.17M","-1.57%"
"06/08/1992","1,873.09","1,873.09","1,873.09","1,873.09","45.76M","-0.75%"
"06/05/1992","1,887.25","1,887.25","1,887.25","1,887.25","50.50M","-0.46%"
"06/04/1992","1,895.90","1,895.90","1,895.90","1,895.90","61.66M","0.48%"
"06/03/1992","1,886.89","1,886.89","1,886.89","1,886.89","306.15M","-0.39%"
"06/02/1992","1,894.21","1,894.21","1,894.21","1,894.21","99.83M","-0.69%"
"06/01/1992","1,907.36","1,907.36","1,907.36","1,907.36","54.55M","0.79%"
"05/29/1992","1,892.33","1,892.33","1,892.33","1,892.33","114.64M","1.95%"
"05/28/1992","1,856.21","1,856.21","1,856.21","1,856.21","75.78M","1.22%"
"05/27/1992","1,833.75","1,833.75","1,833.75","1,833.75","58.07M","0.19%"
"05/26/1992","1,830.32","1,830.32","1,830.32","1,830.32","70.68M","0.04%"
"05/25/1992","1,829.61","1,829.61","1,829.61","1,829.61","31.87M","0.40%"
"05/22/1992","1,822.38","1,822.38","1,822.38","1,822.38","50.73M","0.08%"
"05/21/1992","1,820.90","1,820.90","1,820.90","1,820.90","116.12M","0.29%"
"05/20/1992","1,815.59","1,815.59","1,815.59","1,815.59","69.39M","0.25%"
"05/19/1992","1,811.10","1,811.10","1,811.10","1,811.10","62.86M","1.42%"
"05/18/1992","1,785.74","1,785.74","1,785.74","1,785.74","60.45M","-1.35%"
"05/15/1992","1,810.16","1,810.16","1,810.16","1,810.16","56.27M","-0.92%"
"05/14/1992","1,826.94","1,826.94","1,826.94","1,826.94","80.17M","-0.76%"
